1,0,4
5,0,4
10,273,4
15,525,4
20,863,4
25,1222,4
30,1554,4
35,1875,4
40,2177,4
45,2462,4
50,2736,4
55,2978,4
60,3200,4
65,3407,4
70,3614,4
75,3782,4
80,3960,4
85,4138,4
90,4281,4
